id;sku;title;category;pegi;price;ean;image;stock;brand;language_in_game;language_on_cover;language_subtitles;usk_on_disc;Band Material;Band Size;Band Width (mm);Bed Legs Material;Capacity (GB);Case Diameter (mm);Character;Club;Color;Content (cl);Content (g);Content (ml);Cup Size;Diameter (cm);Edition;Fit;Format;Gift Card Value;Grip;Grip Size;Height;Height (cm);Lenght (cm);Length;Length (cm);Length (m);Length Size (inches);Mattress Firmness;Mattress Toppers;Mattress Type;Number of Drinks;Primary Color;Region;Ringsize Circumference (mm);Season;Shoe Size (EU);Size;Size (cm);Size (EU);Suit Size;Theme;Value;Volume (L);Volume (ml);Waist Size (inches);Wheel Size (inches);Width;Width (cm);description
2348DR;1143316;Minecraft: Bedrock Edition;Video Games and Consoles - PlayStation 4 - Games;7+;19.63;0711719345305;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2348DR/184992027d6e47eeac37ee0c4dfe5bd8.jpg/f/minecraft-bedrock-edition.jpg;785;;English;English,Arabic,French,Portuguese;English,French,Norwegian,Swedish,German,Danish,Finnish,Italian,Portuguese,Russian,Dutch,Spanish,Polish,Greek,Korean,Turkish;6+;;;;;;;;;;;;;;;Limited Edition;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>Build! Craft! Explore! The critically acclaimed Minecraft comes to PlayStation 4, offering bigger worlds and greater draw distance than the PS3 and PS Vita editions. Create your own world, then, build, explore and conquer. When night falls the monsters appear, so be sure to build a shelter before they arrive. The world is only limited by your imagination!</p><ul><li>Bigger worlds and greater draw distance than PS3 and PS Vita Editions</li><li>Includes all features from the PS3 version</li><li>Import your PS3 and PS Vita worlds to the PS4 Edition</li></ul><p>With this version of the game consumers will also receive:</p><ul><li>700 Tokens (use them to get maps, skins and more from the in-game store)</li><li>LittleBigPlanet Mash-Up</li><li>Greek Mythology Mash-Up</li><li>Skin Pack 1</li><li>City Texture Pack</li></ul>
2367AV;1159031;Call of Duty: Black Ops Cold War;Video Games and Consoles - PlayStation 5 - Games;18+;49.4;5030917292460;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2367AV/84c7ddc5900d4f93a2b0f8f02fc4f32e.jpg/f/call-of-duty-black-ops-cold-war.jpg;79;Call of Duty;English,French,German,Italian,Spanish,Polish,Russian;English;English,French,German,Italian,Spanish,Polish,Russian;18+;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>Black Ops Cold War will drop fans into the depths of the Cold War's volatile geopolitical battle of the early 1980s.&nbsp Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters, and more.<br></p><p><strong>DENIABLE OPERATIONS<br></strong>Jump into a realistic and gritty world of off the books missions and off-the-record targets. Deniable Operations lie at the heart of this Multiplayer experience to build a unique but pure Black Ops experience with new modes and ways to play.</p><p><strong>SIGNATURE COMBAT<br></strong>Black Ops Cold War takes that classic Black ops Multiplayer feel and brings it to new heights. Heads up gameplay, automated healing, grounded operator movement plus innovative new systems bring the most cinematic moments to life and results in that signature Black Ops Combat.</p><p><strong>CONNECTED EXPERIENCE<br></strong>Black Ops Cold War is set to support cross-platform and cross-generation play as well as cross-progression, breaking ground for the Call of Duty franchise as it introduces the next generation of global combat.</p><p><strong>MULTIPLAYER</strong><br>Deniable Operations, Signature Black Ops Combat, a new take on gunsmith, new and fan favorite scorestreaks, new maps, new modes and a host of new characters to play as. Jump into the next generation of Global Combat.</p><p><strong>ZOMBIES</strong><br>Players will bring a Cold War arsenal of weapons and equipment into the next evolution of Treyarchâs signature Zombies co-operative experience.&nbsp</p><p><strong>WARZONE&trade</strong><br>Black Ops Cold War will also support and build on the hit, free-to-play experience Call of Duty: Warzone.</p>
2367AT;1159029;Call of Duty: Black Ops Cold War;Video Games and Consoles - PlayStation 4 - Games;18+;45.35;5030917291821;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2367AT/52ea784590e74765aec847330bb6d267.jpg/f/call-of-duty-black-ops-cold-war.jpg;140;Call of Duty;English,German,Spanish,French,Polish,Russian,Italian;English;English,German,Spanish,French,Polish,Russian,Italian;18+;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>Black Ops Cold War will drop fans into the depths of the Cold War's volatile geopolitical battle of the early 1980s.&nbsp Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters, and more.<br></p><p><strong>DENIABLE OPERATIONS<br></strong>Jump into a realistic and gritty world of off the books missions and off-the-record targets. Deniable Operations lie at the heart of this Multiplayer experience to build a unique but pure Black Ops experience with new modes and ways to play.</p><p><strong>SIGNATURE COMBAT<br></strong>Black Ops Cold War takes that classic Black ops Multiplayer feel and brings it to new heights. Heads up gameplay, automated healing, grounded operator movement plus innovative new systems bring the most cinematic moments to life and results in that signature Black Ops Combat.</p><p><strong>CONNECTED EXPERIENCE<br></strong>Black Ops Cold War is set to support cross-platform and cross-generation play as well as cross-progression, breaking ground for the Call of Duty franchise as it introduces the next generation of global combat.</p><p><strong>MULTIPLAYER</strong><br>Deniable Operations, Signature Black Ops Combat, a new take on gunsmith, new and fan favorite scorestreaks, new maps, new modes and a host of new characters to play as. Jump into the next generation of Global Combat.</p><p><strong>ZOMBIES</strong><br>Players will bring a Cold War arsenal of weapons and equipment into the next evolution of Treyarchâs signature Zombies co-operative experience.&nbsp</p><p><strong>WARZONE&trade</strong><br>Black Ops Cold War will also support and build on the hit, free-to-play experience Call of Duty: Warzone.</p>
2367AU;1159030;Call of Duty: Black Ops Cold War;Video Games and Consoles - Xbox One - Games;18+;45.93;5030917291975;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2367AU/507b520a0a7f4a8188e87a67f5555c01.jpg/f/call-of-duty-black-ops-cold-war.jpg;78;Call of Duty;English;English;English;18+;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>Black Ops Cold War will drop fans into the depths of the Cold War's volatile geopolitical battle of the early 1980s.&nbsp Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters, and more.<br></p><p><strong>DENIABLE OPERATIONS<br></strong>Jump into a realistic and gritty world of off the books missions and off-the-record targets. Deniable Operations lie at the heart of this Multiplayer experience to build a unique but pure Black Ops experience with new modes and ways to play.</p><p><strong>SIGNATURE COMBAT<br></strong>Black Ops Cold War takes that classic Black ops Multiplayer feel and brings it to new heights. Heads up gameplay, automated healing, grounded operator movement plus innovative new systems bring the most cinematic moments to life and results in that signature Black Ops Combat.</p><p><strong>CONNECTED EXPERIENCE<br></strong>Black Ops Cold War is set to support cross-platform and cross-generation play as well as cross-progression, breaking ground for the Call of Duty franchise as it introduces the next generation of global combat.</p><p><strong>MULTIPLAYER</strong><br>Deniable Operations, Signature Black Ops Combat, a new take on gunsmith, new and fan favorite scorestreaks, new maps, new modes and a host of new characters to play as. Jump into the next generation of Global Combat.</p><p><strong>ZOMBIES</strong><br>Players will bring a Cold War arsenal of weapons and equipment into the next evolution of Treyarchâs signature Zombies co-operative experience.&nbsp</p><p><strong>WARZONE&trade</strong><br>Black Ops Cold War will also support and build on the hit, free-to-play experience Call of Duty: Warzone.</p>
2367AW;1159032;Call of Duty: Black Ops Cold War;Video Games and Consoles - Xbox Series X - Games;18+;49.11;5030917292613;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2367AW/ed30263ef0e640948c5d39e94147dd3d.jpg/f/call-of-duty-black-ops-cold-war.jpg;45;Call of Duty;English;English;English,German,Spanish,French,Italian,Polish,Portuguese,Russian;18+;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>Black Ops Cold War will drop fans into the depths of the Cold War's volatile geopolitical battle of the early 1980s.&nbsp Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters, and more.<br></p><p><strong>DENIABLE OPERATIONS<br></strong>Jump into a realistic and gritty world of off the books missions and off-the-record targets. Deniable Operations lie at the heart of this Multiplayer experience to build a unique but pure Black Ops experience with new modes and ways to play.</p><p><strong>SIGNATURE COMBAT<br></strong>Black Ops Cold War takes that classic Black ops Multiplayer feel and brings it to new heights. Heads up gameplay, automated healing, grounded operator movement plus innovative new systems bring the most cinematic moments to life and results in that signature Black Ops Combat.</p><p><strong>CONNECTED EXPERIENCE<br></strong>Black Ops Cold War is set to support cross-platform and cross-generation play as well as cross-progression, breaking ground for the Call of Duty franchise as it introduces the next generation of global combat.</p><p><strong>MULTIPLAYER</strong><br>Deniable Operations, Signature Black Ops Combat, a new take on gunsmith, new and fan favorite scorestreaks, new maps, new modes and a host of new characters to play as. Jump into the next generation of Global Combat.</p><p><strong>ZOMBIES</strong><br>Players will bring a Cold War arsenal of weapons and equipment into the next evolution of Treyarchâs signature Zombies co-operative experience.&nbsp</p><p><strong>WARZONE&trade</strong><br>Black Ops Cold War will also support and build on the hit, free-to-play experience Call of Duty: Warzone.</p>
AE59KF;1014332;Nintendo Switch Pro Controller;Video Games and Consoles - Nintendo Switch - Accessories - Controllers;;50.56;0045496430528;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AE59KF/823bc0e161344a4d932f130e996909bf.jpg/f/nintendo-switch-pro-controller.jpg;626;;;English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>Play anyone, any time, anywhere with the Nintendo Switch Pro-Controller.<br><br>Take your game sessions up a notch with the Pro Controller. Includes motion controls, HD rumble, built-in amiibo functionality, and more.</p>
2365SC;1158749;Mario Kart Live Home Circuit-  Luigi Edition;Video Games and Consoles - Nintendo Switch - Games;;90.14;0045496426279;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2365SC/f4532eb439e1413a8d5eb782fc2b9fce.png/f/mario-kart-live-home-circuit-luigi-edition.png;393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>Drive a kart in the real world using familiar Mario Kart controls and see the action from your kartâs on-board camera displayed on your Nintendo Switch or TV screen. Watch as your home is transformed into ocean depths, a sandy desert and more from the world of Mario Kart!</p>
AE3M89;1103924;Sega Megadrive Collection;Video Games and Consoles - Nintendo Switch - Games;12+;15.01;5055277034680;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AE3M89/97c1f023a372497782385ee778e88061.jpg/f/sega-megadrive-collection.jpg;22;;;English;English,French,German,Spanish,Italian;12+;;;;;;;;;;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p>28 Classic Games&nbsp<br><br>Golden Axe. Sonic The Hedgehog. Shadow Dancer: The Secret of Shinobi. Comix Zone. Virtua Fighter 2. Columns. Alex Kidd in the Enchanted Castle. Bonanza Bros. Kid Chameleon. Flicky. Gain Ground. Phantasy Star II, III and IV. Super Thunger Blade. Sword of Vermilion. Vectorman I and II. And Many More! Wireless multiplayer action. Unlockable videos, interviews, and artwork.&nbsp</p>
AB53FJ;1136163;Nintendo Switch Lite Grey;Video Games and Consoles - Nintendo Switch - Consoles;;169.59;0045496452650;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AB53FJ/106219474226444b8d6983e5968ba3b2.jpg/f/nintendo-switch-lite-grey.jpg;67;Nintendo;;English;;;;;;;;;;;Grey;;;;;;Standard;;;;;;;;;;;;;;;;;;English;;;;;;;;;;;;;;;;<p><strong>EU-Plug Included.</strong></p><p><strong>Dedicated to handheld play</strong></p><p>The system for gamers on the go.</p><p>The Nintendo Switch Lite is designed specifically for handheld playâso you can jump into your favorite games wherever you happen to be.</p><p><strong>Compact and lightweight</strong><br>With its light, sleek design, this system is ready to hit the road whenever you are.&nbsp</p><p><strong>Built-in controllers</strong><br>Controllers are built right into the system for handheld play, and the left side sports a +Control Pad.</p><p><strong>Compatible games</strong><br>The Nintendo Switch Lite system plays the library of Nintendo Switch games that work in handheld mode.</p><p><strong>Brighten up</strong><br>The Nintendo Switch Lite comes in three colors: Yellow, Gray, and Turquoise.<strong><br></strong></p>
AM892V;180668;Logitech G29 Driving Force PS3/PS4;Video Games and Consoles - PlayStation 4 - Accessories - Controllers;;217.26;5099206057302;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AM892V/e9b025790ebd456aac2b0d12bc08732a.png/f/logitech-g29-driving-force-ps3-ps4.png;131;Logitech;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>You will never want to race with a regular controller again after you add Driving Force to your controller selection. G29 game steering wheel is designed for the latest racing games for your PlayStationÂ®4 or PlayStationÂ®3 console. G29 Driving Force also works on your PC using Logitech Gaming Software.</p><p><strong>Feel every weight shift, and tire slip</strong><br></p><ul><li>Feel your tires on every turn and type of terrain, sense under- or over-steer drifting and more. Powerful dual-motor force feedback realistically simulates force effects so you can respond with precision.</li></ul><p><strong>Race-ready materials that can handle it all</strong></p><ul><li>Driving Force handles the stress of racing action and is built for long-lasting reliability. G29 has solid steel ball bearings in the wheel shaft and stainless steel paddle shifters and pedals. The race wheel is covered in high-quality, hand-stitched leather, giving it the look and feel of a high-performance racecar wheel and giving you a more comfortable, durable experience.</li></ul><p><strong>Tight, smooth, precise control</strong></p><ul><li>You get an exceptionally smooth, quiet steering action. Helical gears are modeled after gears used in automotive transmissions to reduce unwanted noise and vibration. Anti-backlash keeps the wheel and pedals tight, maximizing your control. G29 Driving Force Racing Wheel features a long lasting, reliable hall-effect steering sensor, using magnetic fields to sense the position of the wheel.</li></ul><p><strong>Control right at your fingertips</strong></p><ul><li>All your controls are where you can reach them. The D-Pad, buttons and paddle shifters are incorporated into the racing wheel. LED indicator lights positioned just above the center of the wheel tell you exactly when to up- or down-shift. You maintain maximum acceleration without taking your eyes off the track. A 24-point selection dial and the +/- buttons on the front of the wheel let you further fine-tune your driving preferences.</li></ul><p><strong>Adjustable for maximum control</strong></p><ul><li>Maintain a more realistic driving body position with the separate floor pedal unit with integrated throttle, brake, and clutch pedals. G29 Driving Force lets you comfortably accelerate, brake and change gears with the feel of an actual car.</li><li>The nonlinear brake pedal mimics the performance of a pressure-sensitive brake system for a more responsive, accurate braking feel. For even finer control, reposition the pedal faces to make heel-toe maneuvers easier to perform.</li><li>Rubber feet for hard surfaces and a patented retractable carpet grip system help your pedals stay right where you put them.</li></ul><p><strong>SYSTEM REQUIREMENTS</strong></p><ul><li>PlaystationÂ®4 or PlaystationÂ®3</li><li>Powered USB port</li><li>WindowsÂ® 8.1, Windows 8 or Windows 7</li><li>Powered USB Port</li><li>Internet connection and 150MB hard drive space (for optional software download)</li><li>Games that support LogitechÂ® force feedback racing wheel</li></ul><p><strong>PACKAGE CONTENTS</strong></p><ul><li>Steering wheel</li><li>Pedals</li><li>Power adapter</li><li>User documentation</li></ul><p><strong>PHYSICAL SPECIFICATIONS</strong></p><ul><li>Wheel</li><li>Height: 270 mm (10.63 in)</li><li>Width: 260 mm (10.24 in)</li><li>Length: 278 mm (10.94 in)</li><li>Weight without cables: 2.25 kg (4.96 lb)</li><li>Pedal</li><li>Height: 167 mm (6.57 in)</li><li>Width: 428.5 mm (16.87 in)</li><li>Depth: 311 mm (12.24 in)</li><li>Weight without cables: 3.1 kg (6.83 lb)</li></ul><p><strong>TECHNICAL SPECIFICATIONS</strong></p><ul><li>Software Support (at release): Logitech Gaming Software</li><li>Connection Type: USB</li><li>USB VID_PID: 046D_C24F (PC Mode)</li><li>USB Protocol: USB 2.0</li><li>USB Speed: Full Speed</li><li>Indicator Lights (LED): Yes</li><li>Wheel</li><li>Rotation: 900 degrees lock-to-lock</li><li>Hall-effect steering sensor</li><li>Dual-Motor Force Feedback</li><li>Overheat safeguard</li><li>Pedals</li><li>Nonlinear brake pedal</li><li>Patented carpet grip system</li><li>Textured heel grip</li><li>Self-calibrating</li></ul><p><strong>Materials</strong></p><ul><li>Wheel spokes: Anodized aluminum</li><li>Wheel cover Hand-stitched leather</li><li>Steering shaft: Steel</li><li>Shifter paddles: Brushed stainless steel</li><li>Mounting clamps: Glass-filled nylon</li><li>Pedal frames and arms: cold rolled steel</li><li>Pedal faces: Brushed stainless steel</li><li>Pedal piston sleeves: Polyoxymethylene thermoplastic (POM)</li></ul><p>EU Powerplug</p><dl><dd><dl><dd>		</dd>	</dl>	</dd></dl>
