id;sku;title;category;pegi;price;ean;image;stock;brand;language_in_game;language_on_cover;language_subtitles;usk_on_disc;release_date;manufacturer;oem;platform;genre;weight_g;length_mm;width_mm;height_mm;location;Band Material;Band Size;Band Width (mm);Bed Legs Material;Capacity (GB);Case Diameter (mm);Character;Club;Color;Content (cl);Content (g);Content (ml);Cup Size;Diameter (cm);Edition;Fit;Format;Gift Card Value;Grip;Grip Size;Height;Height (cm);Lenght (cm);Length;Length (cm);Length (m);Length Size (inches);Mattress Firmness;Mattress Toppers;Mattress Type;Number of Drinks;Primary Color;Region;Ringsize Circumference (mm);Season;Shoe Size (EU);Size;Size (cm);Size (EU);Suit Size;Theme;Value;Volume (L);Volume (ml);Waist Size (inches);Wheel Size (inches);Width;Width (cm);description
23586A;1151412;Philips Hue - Lightstrip Outdoor 5m - White & Color Ambiance;Garden, Patio and Outdoor - Outdoor Lighting - Lightchains;;111.0;8718699709853;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23586A/f63cd36ec41f4a06bd32ba35cab4213f.jpg/f/philips-hue-lightstrip-outdoor-5m-white-color-ambiance.jpg;1152;Philips;;;;;;Philips;929002289102;;;2000.0;380.0;205.0;95.0;1;;;;;;;;;Purple;;;;;;;;;;;;20 mm;;;5000 mm;;;;;;;;Purple;;;;;;;;;;;;;;;11 mm;;<h3>Philips Hue - Lightstrip Outdoor 5m - White & Color Ambiance - New</h3><p><strong>Limitless possibilites -&nbspfor extraordinary experiences!</strong>Expand your outdoors with a Philips Hue Lightstrip Outdoor 5 meter and bring ambiance to places you were not able to before. Flexible in nature and with perfect diffused light, the lightstrip is ideal for direct and indirect use.</p><p><strong>With Philips Hue Lightstrip Outdoor 5meter&nbsp&nbsp</strong><strong>you can&nbsp</strong><strong>Shape light your way</strong></p><ul><li>Flexible to shape and bend</li><li>Suitable for wet locations</li></ul><p><strong>Specially designed for your outdoors</strong></p><ul><li>Paint your outdoors with 16 million colors</li><li>Unwind with warm to cool white light</li><li>Special light for special occasions</li><li>Power supply and plug included</li><li>Requires a Philips Hue bridge</li><li>Set your lights to welcome you home</li><li>Smart control, home and away</li><li>Set timers for your convenience</li></ul><p><strong>Specifiations</strong></p><ul><li>Materials: silicone</li><li>Color(s): multi</li><li>Environmental: Operational humidity: 5% &lt H &lt 95% (non condensing)</li><li>Operational temperature: -20°C to 45°C</li><li>Cut ability: No</li><li>Input Voltage: 220V-240V</li><li>Light output: 16 million colors, 2000 - 6500K, Dimmable via smart device only</li><li>Lumen output: 1650 lm at 4000K, 1500 lm at 2200K, 1550 lm at 2700K, 1810 lm at 6500K</li><li>Max. standby power: 0.5 W</li><li>Software upgradable: When connected to Hue bridge</li><li>Start up: Instant 100% light output</li><li>Wattage: 37.5 W</li><li>Color temperature: 16 million colors, Warm white to cool daylight</li><li>Height: 11 mm Length: 4870 mm Width: 20 mm</li><li>IP code: IP67</li><li>Lifetime: 25,000 h</li><li>Weight: 1.77 kg</li></ul><p><strong>What's in the Philips Hue - White&nbsp and&nbsp Color Ambiance Lightstrip Outdoor 5m box&nbsp</strong></p><ul><li>Lightstrip Outdoor 5 meter: 1</li><li>Power adapter: 1&nbsp<strong>(EU POWER PLUG)</strong></li></ul><p>EAN:&nbsp8718699709853 / 929001818602</p><p><br></p><p></p>
23AZ6F;1195469;Stop! Or My Mom Will Shoot;Movies and TV Shows - Movies;;3.75;5705643990200;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23AZ6F/cdabcc12a8864e45bc33686e6d011b44.png/f/stop-or-my-mom-will-shoot.png;195;Classic Movies;;English;;;2022-04-29;Excalibur;EXC0020;;Action, Comedy;100.0;190.0;135.0;15.0;1;;;;;;;;;;;;;;;Standard;;DVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Justice is served up family-style as Sylvester Stallone and Estelle Getty star in this mother of all action comedies.</strong></p><p>When top L.A. detective Joe Bomowski (Stallone) gets a rare visit from his feisty mom, Tutti (Getty), his life is turned upside-down. In no time, she is rearranging Joe’s bachelor pad and meddling in his affairs, much to his embarrassment and the delight of his girlfriend, Gwen (JoBeth Williams). To add to Joe’s problems, Tutti witnesses a murder and becomes his unlikely partner when she refuses to divulge information unless she’s allowed in on the investigation. Just when Joe is ready to kill himself, Tutti helps bring down the bad guys, proving Motherknows best in this outrageous action-adventure comedy.</p>
23AZ6E;1195468;Stop! Or My Mom Will Shoot;Movies and TV Shows - Movies;;3.75;5705643990217;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23AZ6E/2b1b4e77b91c46c180bfeb8a92a2287c.png/f/stop-or-my-mom-will-shoot.png;534;Classic Movies;;English;;;2022-04-29;Excalibur;EXC0021;;Action, Comedy;100.0;190.0;135.0;15.0;1;;;;;;;;;;;;;;;Standard;;Blu-Ray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Justice is served up family-style as Sylvester Stallone and Estelle Getty star in this mother of all action comedies.</strong></p><p>When top L.A. detective Joe Bomowski (Stallone) gets a rare visit from his feisty mom, Tutti (Getty), his life is turned upside-down. In no time, she is rearranging Joe’s bachelor pad and meddling in his affairs, much to his embarrassment and the delight of his girlfriend, Gwen (JoBeth Williams). To add to Joe’s problems, Tutti witnesses a murder and becomes his unlikely partner when she refuses to divulge information unless she’s allowed in on the investigation. Just when Joe is ready to kill himself, Tutti helps bring down the bad guys, proving Motherknows best in this outrageous action-adventure comedy.</p>
236TE7;1164298;Pocket Auto Catch LIGHTNING;Electronics - Smartphones and Tablets - Accessories - Controllers & Joypads - Wireless;;25.25;4713291622368;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/236TE7/4f4a64b7f0674ebab983b947d0b98d0a.png/f/pocket-auto-catch-lightning.png;56;;;;;;;;;;;100.0;110.0;70.0;30.0;1;;;;;;;;;Black;;;;;;;;;;;;;;;;;;;;;;;Black;;;;;;;;;;;;;;;;;<p><strong>The perfect companion when you go out and catch Pokémon! Pocket Auto Catch LIGHTNING from Brook automatically captures Pokémon when you're out and about.</strong></p><p>Catching Pokémon in Pokémon GO will not be easier than using a Pocket Auto Catch Lightning. A watch that easily connects to your phone via Bluetooth, so you do not have to have your phone in front when you catch your Pokémon so you can safely and securely focus on your surroundings.</p><p>It's even waterproof and dustproof. It has an elegant round shape with a multicolored LED, which is the result of the specially developed waterproof box.</p><p>It vibrates as soon as a Pokémon or a Pokéstop is nearby, and notifies you on the LED display. LIGHTNING not only collects Pokémon, but also objects such as Poké Balls, potions and eggs at the touch of a button. It even does it completely automatically in Auto Catch mode! Play Pokémon Go in a whole new way - maybe even underwater? </p><p>NOTE: The Pokémon Go app disconnects from all connected Bluetooth devices every 60 minutes to save on battery power. Thus, it may be necessary to reconnect the Pocket Auto Catch LIGHTNING 2020 every 60 minutes in the game. An interrupted Bluetooth connection is therefore not the result of a defect in the device.</p><p><strong>Product information:</strong></p><ul><li><p>The individual multicolor LED wristband is compatible with e.g. iPhone 5/5c/5s/SE/6/6s/6 Plus/6s Plus/7/7 Plus/8/8 Plus/X/XR/XS Max/11/11 Pro/11 Pro Max with iOS 8–13 and Android devices with version 4.4–10, min. 2 GB RAM &amp Bluetooth 4.0</p></li><li><p>Included in the box: Single multicolor LED unit Pocket Auto Catch LIGHTNING, wristband in black, USB flat charging cable, printed manual in German, English, Spanish, Italian, French</p></li><li><p>Battery specifications: 70 mAh, 3.7 V</p></li><li><p>LIGHTNING can be quickly charged using the included flat USB charger cable (60 min)</p></li></ul>
AE59ZH;1138351;RadiCover - Radiationprotected Mobilewallet PU iPhone 11 - Brown;Electronics - Smartphones and Tablets - Accessories - Cases & Covers;;15.99;5712869102195;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AE59ZH/275759171ecc4ec6b5ee98d7329c0c88.jpg/f/radicover-radiationprotected-mobilewallet-pu-iphone-11-brown.jpg;3;RadiCover;;;;;;Radicover;RAD219;;;100.0;210.0;110.0;30.0;1;;;;;;;;;Brown;;;;;;;;;;;;;;;;;;;;;;;Brown;;;;;;;;;;;;;;;;;<h3>Radicover Radiationprotected Mobilewallet PU iPhone 11 ( 3-led RFID )</h3><p><strong>3-LED RFID credit card protection from RadiCover</strong><br>The wireless RFID signals your contactless credit cards emit can be blocked, if you store your credit cards in an anti-radiation protective wallet case with 3-LED RFID technology from RadiCover. The new advanced 3-LED circuit protects up to a total of 8 cards in your wallet at the same time.<br><strong>Protects against 86% of mobile radiation</strong><br>The mobile shell has a special anti-radiation membrane on the front of the cover that effectively reduces up to 86% of the electromagnetic mobile radiation transmitted from your mobile phone to your head and body. At the same time, the wallet case protects your smartphone from blows and scratches</p><p><strong>Here's how the case protects you:</strong><br>1) Speak with the lid closed over the front of the screen.<br>To avoid the harmful rays and heat from the phone, talk to the lid closed over the screen. The cover is equipped with holes for speakers and a microphone that allows maximum beam reduction of up to 86%. You are thus well protected both when you talk on the phone and when it is inside, for example your pocket or bag.<br>2) Always turn the front of the cover towards the body<br>Since the shell only protects against the front, this must ALWAYS be turned into the body for protection. With the flap closed in front of the screen, you avoid both rays and warm ear and heat to the head, which is proven harmful.</p><p></p><p><strong>Features</strong>:</p><ul><li>Protects against 86% of mobile radiation</li><li>RFID protection against contactless credit card fraud</li><li>Protects your phone from bumps and scratches</li><li>3 compartments for credit cards, 1 compartment for banknotes</li><li>Imitation Leather</li></ul><p>EAN:&nbsp5712869102188 ( Black )<br>SKU:&nbspRAD218 ( Black )<br>EAN:&nbsp5712869102195 ( Brown )<br>SKU:&nbspRAD219 ( Brown )</p>
23A8BS;1191518;Minecraft - Roleplay - Diamond Pickaxe (HFF60);Toys - Pretend Play - Playweapon and gear - Shields, Swords and Helmets;;11.5;;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23A8BS/705fe2ebb38f4d9584400d075b3291f0.jpg/f/minecraft-roleplay-diamond-pickaxe-hff60.jpg;11;MineCraft;;;;;;Mattel;HFF60;;;200.0;380.0;240.0;30.0;1;;;;;;;;;Pickaxe;;;;;;;;;;;;;;;;;;;;;;;Multi;;;;;;;;;;;;;;;;;<p>Fans of Minecraft can bring the video game world to life with this collection of role-play toys. Choose between a life-sized Sword and Pickaxe! Whether fending off evil mobs with the sword or mining blocks with the pickaxe, kids will have a blast with these role-play accessories. Gamers will want to collect them both to play out their own Minecraft adventures in real life! Each sold separately, subject to availability. Colors and decorations may vary.</p><ul><li>Bring the world of Minecraft to life with life-sized accessories for video game role-play!</li><li>Choose from the Diamond Sword and the Enchanted Pickaxe!</li><li>Both items have a pixelated design iconic to the game!</li><li>Minecraft fans will love the excitement of playing out video game scenarios in the real world.</li><li>Games will want to collect both the Sword and Pickaxe to create cool Minecraft scenes together (each sold separately, subject to availability).</li></ul><p></p>
AE8CN2;1140426;Stand By Me (Classic Line) Blu ray;Movies and TV Shows - Movies;;3.75;5051162291671;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AE8CN2/0403a0cb29654329b752a268372cd426.jpg/f/stand-by-me-classic-line-blu-ray.jpg;21;;;;;;;Universal Sony Pictures Nordic;SGSB11012B;;C, o, m, e, d, y, ,,  , D, r, a, m, a;100.0;170.0;135.0;15.0;1;;;;;;;;;;;;;;;;;Blu-Ray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>In a small, woodsy Oregon town, a group of friends - sensitive Gordie (WIL WHEATON), tough guy Chris (RIVER PHOENIX), flamboyant Teddy (COREY FELDMAN), and scaredy-cat Vern (JERRY O’CONNELL) - are in search of a missing teenager’s body. Wanting to be heroes in each other’s and their hometown’s eyes, they set out on an unforgettable two-day trek that turns into an odyssey of self-discovery. When they encounter the town’s knife-wielding hoods, the boys discover a strength they never knew they had. Based on the novella “The Body” by STEPHEN KING, STAND BY ME is a rare and special film about friendship and the indelible experience of growing up.</p>
23985G;1183550;Hugo Boss - Man EDT 75 ml;Beauty - Perfume - Eau de Toilette;;23.5;3614229823790;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/23985G/38f3066d5d62493cb3d3a102933af5d1.jpg/f/hugo-boss-man-edt-75-ml.jpg;12;Hugo Boss;;;;;;Hugo Boss;;;;250.0;130.0;70.0;40.0;1;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>Hugo Man from Hugo Boss has an aromatic green scent. It opens with notes of lavender, green apple, mint and grapefruit the heart is filled with carnation, sage and geranium and the base notes are pine tree, patchouli, oakmoss and vetiver.</p><p><strong>Notes</strong>:&nbsp</p><ul><li>Lavender, green apple, mint, grapefruit carnation, sage, geranium, pine tree, patchouli, oakmoss and vetiver.</li></ul>
2386MF;1175066;Xlash - Pro Eyelash Serum 6 ml;Beauty - Makeup - Eyes - Eyelash treatments;;30.5;5060397570185;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2386MF/68b23619bc9647449ab86e8b48962690.jpg/f/xlash-pro-eyelash-serum-6-ml.jpg;188;Xlash;;;;;;Xlash;;;;65.0;140.0;30.0;30.0;1;;;;;;;;;6 ml;;;;;;;;;;;;;;;;;;;;;;;Black;;;;;;;;;;;;;;;;;<p><strong>Get long and eye-catching lashes with this amazing lash serum.</strong></p><p>Xlash Eyelash Serum is based on a unique formula that increases the growth of lashes, both in volume and length. The product contains important minerals that have a promoting effect on cell renewal and which therefore promote growth.</p><p><strong>Application:</strong></p><ul><li><p>Used on clean lashes</p></li><li><p>Apply a thin line with the fine brush along the lash line on the upper lashes</p></li><li><p>Used once daily</p></li><li><p>Use this serum in the evening so that it can work overnight</p></li><li><p>After 2 months of use, it is recommended to use it a few times a week</p></li></ul><p><strong>Advantage:</strong></p><ul><li><p>Fantastic eyelash serum from Xlash</p></li><li><p>Increases the growth of lashes</p></li><li><p>Provides more volume, length and thickness</p></li><li><p>Adds nourishment and care</p></li></ul>
2386MG;1175067;Xlash - Eyelash Serum 3 ml;Beauty - Makeup - Eyes - Eyelash treatments;;21.5;5060397570000;https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/2386MG/a797f678715645d2beebe6634847bd1d.jpg/f/xlash-eyelash-serum-3-ml.jpg;580;Xlash;;;;;;Xlash;;;;55.0;130.0;29.0;28.0;1;;;;;;;;;3 ml;;;;;;;;;;;;;;;;;;;;;;;Black;;;;;;;;;;;;;;;;;<p><strong>Get long and eye-catching lashes with this amazing lash serum.</strong></p><p>Xlash Eyelash Serum is based on a unique formula that increases the growth of lashes, both in volume and length. The product contains important minerals that have a promoting effect on cell renewal and which therefore promote growth.</p><p><strong>Application:</strong></p><ul><li><p>Used on clean lashes</p></li><li><p>Apply a thin line with the fine brush along the lash line on the upper lashes</p></li><li><p>Used once daily</p></li><li><p>Use this serum in the evening so that it can work overnight</p></li><li><p>After 2 months of use, it is recommended to use it a few times a week</p></li></ul><p><strong>Advantage:</strong></p><ul><li><p>Fantastic eyelash serum from Xlash</p></li><li><p>Increases the growth of lashes</p></li><li><p>Provides more volume, length and thickness</p></li><li><p>Adds nourishment and care</p></li></ul>
