"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"NSW1434";"5026555067959";"BioShock - The Collection  SWITCH";"19.990";"0";"19.990";"lieferbar";"5026555067959.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"NSW1435";"5026555068079";"Borderlands  Legendary Collection  SWITCH";"19.990";"0";"19.990";"lieferbar";"5026555068079.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS44139";"5030917205170";"Call of Duty: Infinite Warfare  PS4";"1.990";"0";"1.990";"lieferbar";"5030917205170.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS45122";"5026555425698";"Civilization VI  PS4";"14.990";"0";"14.990";"lieferbar";"5026555425698.jpg";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Strategiespiele"
"PS45257";"5030917290985";"Crash Bandicoot 4 - It´s About Time  PS4";"42.500";"0";"42.500";"lieferbar";"5030917290985.jpg";"6";"";"";"SCH";"";"SONDERANGEBOTE";"Fun & JumpNRun"
"XB11001";"5030917291081";"Crash Bandicoot 4 - It´s About Time  Xbox One";"39.990";"0";"39.990";"lieferbar";"5030917291081.jpg";"6";"";"";"SCH";"";"SONDERANGEBOTE";"Fun & JumpNRun"
"NSW1145";"0045496421762";"Donkey Kong Country: Tropical Freeze  SWITCH";"34.990";"0";"34.990";"kein Bestand";"0045496421762.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Fun & JumpNRun"
"NSW1167";"0045496422059";"Mario Tennis Aces  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496422059.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"NSW1362";"5026555067676";"NBA 2K20  SWITCH";"7.990";"0";"7.990";"lieferbar";"5026555067676.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"PS45273";"5030937122983";"NHL 21  PS4";"29.990";"0";"29.990";"lieferbar";"";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Sportspiele"
"NSW1418";"0045496415982";"Pokemon Mystery Dungeon: Retterteam DX  SWITCH";"29.990";"0";"29.990";"lieferbar";"0045496415982.jpg";"6";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS44724";"5026555423076";"Red Dead Redemption 2  PS4";"14.990";"0";"14.990";"lieferbar";"5026555423076.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"PS45166";"5055060949634";"Resident Evil 3  PS4";"21.990";"0";"21.990";"lieferbar";"5055060949634.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"NSW1368";"0045496425623";"Tetris 99  SWITCH";"17.990";"0";"17.990";"lieferbar";"0045496425623.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Geschicklichkeit"
"PS45212";"0711719330202";"The Last of US  Part II  PS4";"29.990";"0";"29.990";"lieferbar";"0711719330202.jpg";"18";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"NSW1372";"0045496424428";"The Legend of Zelda: Link´s Awakening  SWITCH";"34.990";"0";"34.990";"lieferbar";"0045496424428.jpg";"6";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"NSW1426";"5026555067799";"The Outer Worlds  SWITCH";"19.990";"0";"19.990";"lieferbar";"5026555067799.jpg";"16";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
"CDR11945";"3665962002126";"Tour de France 2020  PC";"9.990";"0";"9.990";"lieferbar";"3665962002126.jpg";"0";"";"";"SCH";"";"SONDERANGEBOTE";"Simulationen"
"CDR3102";"3348542196902";"World of Warcraft  60-Tage Game Time Card";"19.990";"0";"19.990";"kein Bestand";"world_of_warcraft_wow_60_days_gtc_game_time_card.jpg";"12";"https://www.youtube.com/embed/nK6smbbkHUk";"nK6smbbkHUk";"SCH";"";"SONDERANGEBOTE";"Online Games,Rollenspiele RPG"
"NSW1436";"0045496425814";"Xenoblade Chronicles: Definitive Edition  SWITCH";"29.990";"0";"29.990";"lieferbar";"0045496425814.jpg";"12";"";"";"SCH";"";"SONDERANGEBOTE";"Actionspiele"
