Art.Nr;Titel;Warengruppe;System;Genre;Label;Nachbestellbar j/n;Bestand;Laufzeit-Gesamt;FSK;EAN;EK-Preis;Bewertung;Empf.VK;Aktions VK;Aktions EK;Darsteller 1;Regisseur;DVD-Anzahl;Beschreibung;Original BestellNr;VÖ-Datum;Lieferant;aktiv;Jpg-Pfad
268557;N 64 Controller grau N64;N64 Zubehör;N64;Zubehör;Diverse;J;      17;;33;4260183010197;       7,80;;    14,95;    14,95;;;;;Einer der genialsten Controller der Videospielgeschichte! <BR>Die perfekte Steuerung für Maria, Zelda & Co.<BR>Selbstverständlich mit allen wichtigen Buttons, die auch das Original hat:<BR><BR>Z-Trigger, C-Buttons, Control-Pad, Control-Stick usw.<BR>Natürlich mit auch mit Memory Cartridge Einschub auf der Unterseite. Liegt einfach super in der Hand!<BR><BR>Features:    <BR><BR>- Buttons: A,B,C,Start, Z, L+R (Schultertasten) <BR>- mit Control-Stick und Control-Pad <BR>- Einschub für Memory Cartridge auf der Unterseite <BR>- zu allen Spielen kompatibel <BR>- tolle Qualität, liegt super in der Hand <BR>- unschlagbares PreisLeistungs-Verhältnis <BR><BR><BR>;;22.10.2001;Sonderposten;1;https://bilderserver.vitrex.de/268557.jpg
272387;GC RGB Scart Kabel  Bulkware auch SNES;GC Zubehör;GC;Zubehör;Eaxus;J;       0;;33;4260183010876;       2,60;;     4,99;     4,99;;;;;;;19.01.2009;Sonderposten;1;https://bilderserver.vitrex.de/272387.jpg
297087;WoW  PC   TimeCard  60 Tage World of Warcraft;Geld-u. Zeitkarten;;Code-Card;Vivendi;J;       0;;12;3348542196902;      21,50;;    32,90;    32,90;;;;;Die Prepaid Game Card ist eine komfortable <BR> Zahlungsmethode, um 60 Tage lang World of Warcraft spielen <BR> zu können. Folgen Sie den beiliegenden Anweisungen und in <BR> wenigen Minuten sind Sie wieder spielbereit. Die World of <BR> Warcraft Prepaid Game Card ist das perfekte Geschenk für <BR> alle Abenteurer in Azeroth! Nach Ablauf der 60 Tage fallen <BR> erneut Abonnementgebühren an. Zum Spielen werden die <BR> Vollversion von World of Warcraft und eine <BR> Internetverbindung benötigt. <BR>;;18.10.2005;Activision Blizzard;1;https://bilderserver.vitrex.de/297087.jpg
304225;Wii Memory Card 8MB (123 Block) nur für GameCube Spiele;Wii Zubehör;Wii;Zubehör;Eaxus;J;       0;;33;6966229696087;       2,90;;     4,99;     4,99;;;;;- 8 MB Speicher<BR>- Ohne Komprimierung  <BR>- Schnelle Zugriffszeit  <BR>- Plug & Play  <BR>- funktioniert natürlich auch auf dem Nintendo Wii!<BR>- Markengerät <BR><BR>;;15.01.2001;Sonderposten;1;https://bilderserver.vitrex.de/304225.jpg
304229;Wii Memory Card 64MB (1019 Block) nur für Game Cube Spiele;Wii Zubehör;Wii;Zubehör;Diverse;J;       0;;33;6966229696643;       5,20;;     9,99;     9,99;;;;;;;15.01.2001;Sonderposten;1;https://bilderserver.vitrex.de/304229.jpg
324386;3DS Netzteil Universal  XL DSi DSL DS 3D incl. Stylus DSi auch GBA SP;DS Zubehör;DS;Zubehör;Snakebyte;J;       2;;33;4039621904363;       5,63;;     9,99;     9,99;;;;  1;Universeller und cleverer Stromadapter für bis zu 4 <BR> verschiedene Geräte<BR><BR>Der Universal AC Adapter macht seinem Namen alle Ehre. <BR> vorbei die Zeiten des Netzteil-Chaos. Mit dem Universal AC <BR> Adaptor werden ganze vier verschiedene Geräte mit einem <BR> Netzteil aufgeladen, was nicht nur praktisch ist, sondern <BR> auch Platz spart. Der praktsiche USB-Anschluss sorgt <BR> außerdem dafür, dass die Geräte geladen werden können, <BR> auch wenn mal gerade keine Steckdose frei oder verfügbar <BR> ist. <BR><BR><BR>Features:<BR><BR>- Euro-Netzteil mit variabler Eingangsspannung (100-240V, <BR> 50<BR>- Ausgangsspannung 5V, 800 mA<BR>- Kompatibel mit Nintendo DSi, Nintendo DS lite, Nintendo <BR> DS und GBA SP<BR>- Ausreichende Kabellänge von ca. 1,50 m<BR>- + Bonus DSi Stylus<BR>;;12.03.2009;Snakebyte distribution GmbH;1;https://bilderserver.vitrex.de/324386.jpg
325335;PS2 RGB Kabel Scart PS, PS2, PS3 mit Audio-Chinch-Ausgängen;Multiplattform;Multiplattform;Zubehör;Eaxus;J;       3;;33;4260183010715;       2,80;;     5,00;     5,00;;;;  1;Kabel zum Verbinden Ihrer Playstation 123 mit dem <BR> Fernseher. Das Kabel ist ca 2 Meter lang.<BR><BR>- Geeignet für alle Sony-Playstation-Konsolen wie PSX, PSOne <BR> und PS2.<BR>- Mit extra Chinch Audio Ausgängen für noch bessere <BR> Soundqualität!<BR><BR><BR>;;20.03.2009;Sonderposten;1;https://bilderserver.vitrex.de/325335.jpg
325340;DS Netzteil  DSL  EX;DS Zubehör;DS;Zubehör;Eaxus;J;       0;;33;4260183010227;       2,90;;     4,99;     4,99;;;;  1;Nintendo NDS LITE(!) 230 Volt Netzteil Ladekabel <BR>Kabellänge: ca. 1,5 m<BR>;;20.03.2009;Sonderposten;1;https://bilderserver.vitrex.de/325340.jpg
325371;Switch LAN Internet Adapter  EX Wii+WiiU;Wii Zubehör;Wii;Zubehör;Eaxus;J;       0;;33;4260183010654;       9,90;;    14,99;    14,99;;;;  1;Adapter um den Wii an ein Kabelnetzwerk (LAN) anzuschließen. Einfach zu handhaben, durch USB Stecker.<BR><BR>USB Stecker in Wii und LAN Kabel an das vorhandene Netzwerk (RouterSwitch) anschließen und somit auch ohne Funknetzwerk online gehen. <BR>;;20.03.2009;Sonderposten;1;https://bilderserver.vitrex.de/325371.jpg
325991;XB360 Play & Charge Kit  EX Akku + Ladekabel für Controller;XBox 360 Zubehör;XBox 360;Zubehör;Eaxus;J;       0;;33;0885370115802;       7,90;;    12,99;    12,99;;;;  1;XBox360 Ladegerät für Funkcontroller - Play & Charge Kit<BR>Laden Sie Ihren XBox360 Funk Controller während des Spielens auf und verabschieden Sie sich von Wegwerf-Batterien!<BR><BR>Mit Ladekabel und Akku Pack ist dieses Play & Charge Kit alles was Sie brauchen, um Ihren Funk Controller aufzuladen - und das während der spannendsten Schlachten.<BR>Nach einem nur 6-stündigen Ladevorgang hält das Akku-Pack ganze 30 Spielstunden durch!<BR><BR>Features:<BR><BR>- ermöglicht unterbrechungsfreies Spielen <BR>- über 18 Stunden Gameplay durch 1 Ladevorgang <BR>- Kabellänge 1,80 Meter<BR>- sehr einfach zu verwenden <BR>- im gleichen Design wie der Controller und die Konsole gehalten <BR>- Überwachung des Ladestandes über das XBox360 Dashboard <BR><BR>;;06.04.2009;Sonderposten;1;https://bilderserver.vitrex.de/325991.jpg
